child_lei,child_name,child_country,parent_lei,parent_name
5493008EU8J8PL7Y5C92,UNILEVER SWISS HOLDINGS AG,CH,549300MKFYEKVRWML317,UNILEVER PLC
549300L1BI3GK8BXJQ09,BNL EUROLENS,FR,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900ZTL0PT4VP94P73,Kaiserwasser Bau- und Errichtungs GmbH und Co OG,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900S3CB25TCZKIM51,Deutsche Investments India Private Limited,IN,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900SGNVLFY9Z13205,UniCredit Center am Kaiserwasser GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900PWIXRQXV72NZ40,Cinda - DB NPL Securitization Trust 2003-1,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
54930009CCENXT9WTF32,INTESA SANPAOLO BANK ALBANIA,AL,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900S8GVBA9SFCOD21,DB SERVIZI AMMINISTRATIVI S.R.L.,IT,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493005FXRVEIG8SRV35,GRANDVISION FRANCE,FR,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900QJ7JSKVLQ18G57,DB Global Technology SRL,RO,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299000VMYT0UGXVZN87,LUFTHANSA TECHNIK SOFIA,BG,529900PH63HYJ86ASW55,Deutsche Lufthansa Aktiengesellschaft
549300HZPMLS59IYHW02,MARGA B.V.,NL,549300MKFYEKVRWML317,UNILEVER PLC
335800XN3TLVKZDB1A49,ESSILOR INDIA PRIVATE LIMITED,IN,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900MEJVKCGUA49N75,DEUTSCHE (AOTEAROA) FOREIGN INVESTMENTS NEW ZEALAND,NZ,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299003WG7KATU7TAB06,"DB HOLDINGS (NEW YORK), INC.",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493004UXU8N4332KP68,DEAM-FONDS EDV 1,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299002I8P5HGKM83883,Belzen Pty. Limited,AU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900YHRPQXXQ333M09,DBX Advisors LLC,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900JA77IQLWAUIY31,Deutsche Bank Trust Corporation,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900DLWFR8HK7DR278,Deutsche Bank (Malaysia) Berhad,MY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
815600F2CB73D0455054,INTESA SANPAOLO RBM SALUTE S.P.A.,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
549300MUHUFNRRI19O72,PT UNILEVER INDONESIA TBK,ID,549300MKFYEKVRWML317,UNILEVER PLC
529900VPJF35O5YAHQ53,DB Asset Finance II S.à r.l.,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900ZS8OVPXKLRNF83,"G.O. IB-US Management, L.L.C.",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
31570020000000002796,"Eurizon Asset Management Slovakia, správ. spol., a.s.",SK,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
5493002I3S7TGKYK0P44,UNILEVER GLOBAL IP LIMITED,GB,549300MKFYEKVRWML317,UNILEVER PLC
549300P1BW0YOP2GMX46,UNILEVER TURKEY HOLDINGS B.V.,NL,549300MKFYEKVRWML317,UNILEVER PLC
549300Z2UVWOX086RH29,4CARE GMBH,DE,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900THBFKA4IXJAS93,PADUS Grundstücks-Vermietungsgesellschaft mbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493007Y31O7VTA60Y74,"APPLE COMPUTER TRADING (SHANGHAI) CO., LTD.",CN,HWUPKR0MPOU8FGXBT394,Apple Inc.
529900SVXK7QBUFV0M35,Projekt-Lease Grundstücksverwaltungs-Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300ZIEXERVNP8XK18,"Scanline VFX LA, LLC",US,549300Y7VHGU0I7CE873,"NETFLIX, INC."
529900ZSLE0TD0PZ1N92,UCTAM Hungary Korlátolt Felelősségű Társaság,HU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5299000FVVZY394D6H21,DB Direkt GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900Y6FEIUGQNZ1D55,Postbank Direkt GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900W747T39A8BLD28,BAL HORUS Immobilien Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
097900BID40000148202,"UCTAM SVK, s. r. o.",SK,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300EEZD541NHWO738,DB PBC - DEUTSCHE BANK BEST ALLOCATION - PROTECT 90,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900VELVP73ZAHIO43,"CHINA RECOVERY FUND, LLC",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900VUBQY47LB3PV64,WealthCap Real Estate Management GmbH,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900J0N5FYROZOL786,Deutsche Securities Korea Co.,KR,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
254900AK05JYXH6SJ944,DWS Fixed Maturity High Yield Bonds 2025 II,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900VQTGY0OGZTCS62,UniCredit Luna Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900A5TAKNCSD2LP56,Z Leasing Gama Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300JMVCPEO24OMS31,ESSILOR OPTIKA KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,HU,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
52990016W975JPQ70O29,Quart Z Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
2138003TJQDD92C95M54,UNICREDIT BIZTOSÍTÁSKÖZVETÍTŐ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,HU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
213800TIAIHOYOOSDJ79,UNICREDIT OPERATÍV LÍZING KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,HU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900DKBIMRJI0XGY65,Eurolease ISIS Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
213800CF4E69O3XA2112,FONDO PENSIONE APERTO IL MIO DOMANI,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
549300GKZ7ZVO2CI5U81,NIKON OPTICAL CANADA INC.,CA,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900JRUMEIH0YZZB14,"MIT Holdings, Inc.",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300THBBC51SW1XC62,UNILEVER (MALAYSIA) HOLDINGS SDN. BHD.,MY,549300MKFYEKVRWML317,UNILEVER PLC
254900DJEPG1R3YK9J68,DWS Funds SICAV,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299007QILH2588Y8Z31,Bertram Projekt Unodecima Technikzentrum GmbH & Co. KG,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300V6XZN8U57X4711,TRANSITIONS OPTICAL (THAILAND) COMPANY LIMITED,TH,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
5299003RWHA2ZD5T0R33,QUADEC Z Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300U68K8MD40UXJ91,PB Spezial-Investmentaktiengesellschaft mit Teilgesellschaftsvermögen,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900697VW9X2YUUN62,Tasfiye Halinde Bebek Danismanlik Anonim Sirketi,TR,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900RC0O6Y0E636W87,GWC-GAC Corp.,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300HDJQDQ3E23HQ29,DEAWM-FONDS JOSUA,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900NNSS91OZRYZ793,WealthCap Equity Management GmbH,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
2549008YU9EOMHFUA249,Apple Operations India Pvt. Ltd.,IN,HWUPKR0MPOU8FGXBT394,Apple Inc.
81560084D60FE553FF12,VISCONTI S.R.L.,IT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300JD5QZGA037DM65,CABO Beteiligungsgesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
2138003P1XRZQRXLIT42,ELEKTRA PURCHASE NO. 55 DESIGNATED ACTIVITY COMPANY,IE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300VW6R2NNTWFB821,VISION DIRECT B.V.,NL,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900DAUNIPA0EBPB86,DUODEC Z Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900LTXFQ0DA5ZZT94,Unicom Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300101YTPRIMUGT82,DELAMARE SOVRA SAS,FR,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900KN6P7OQX84OC85,Stewe Grundstücksverwaltungs-Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900OMA6G6HP7X5523,DEUTSCHE NOMINEES LIMITED,GB,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
2138006HP23N8GYS9Q88,"UNILEVER EL SALVADOR SCC, SOCIEDAD ANONIMA DE CAPITAL VARIABLE",SV,549300MKFYEKVRWML317,UNILEVER PLC
PRNXTNXHBI0TSY1V8P17,ZAGREBAČKA BANKA DIONIČKO DRUŠTVO,HR,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300H4CV43QCH4W570,DEAM CAPITAL PROTECT 2044,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900UUPS52ZOCZKF69,Deutsche Capital Partners China Limited,KY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493004DRENYD68POX17,APPLE TEKNOLOJİ VE SATIŞ LİMİTED ŞİRKETİ,TR,HWUPKR0MPOU8FGXBT394,Apple Inc.
549300SE1UII3HYCP132,MIXHOLD B.V.,NL,549300MKFYEKVRWML317,UNILEVER PLC
21380039PDICI7H5EV76,EURÓPA INGATLANBEFEKTETÉSI ALAP,HU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300DZL0C3ZT51Z154,UNILEVER BRASIL INDUSTRIAL LTDA,BR,549300MKFYEKVRWML317,UNILEVER PLC
52990047I84DVP5HEZ85,ABFS I Incorporated,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
254900MHTFH65CWFJP42,DWS Fixed Maturity SICAV,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
3358007MD8NFWEKRC164,RAYBAN SUN OPTICS INDIA PRIVATE LIMITED,IN,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900JZ3HPIWJWLNL56,Lufthansa Leasing Austria 1. Beteiligungs GmbH,AT,529900PH63HYJ86ASW55,Deutsche Lufthansa Aktiengesellschaft
506700CX762Q165KF826,REYL Overseas AG,CH,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900XP4MMP82P0MO48,Acamar Holding S.A.,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
2549001OPWM203W21005,DWS Garant SICAV,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
894500MQIC6HSO5CA924,ESSILOR BELGIUM,BE,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
5299007A3J9XYU46D740,Terz Z Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900K871A6JWHK6Z45,DB PWM Private Markets I GP,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299007CQ7QQYFIVNV49,CAM Private Equity Verwaltungs-GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900BUTOYN9W7Y6103,Eurizon Asset Management Hungary Zártkörűen Működő Részvénytársaság,HU,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
253400G6BH0UHXA5C941,"Общество с ограниченной ответственностью ""ЮниКредит Лизинг""",RU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5299005FDA3YO55CIL95,"Obschestvo s organichennoj otvetstennostju ""Obschije logisticheskije reshenija""",RU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
213800BRJ9LYIW3Z7L42,UNILEVER REGIONAL SERVICES PANAMA S.A.,PA,549300MKFYEKVRWML317,UNILEVER PLC
529900JUYWPVJ3EAX160,Deutsche Postbank Funding Trust III,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900YU74RHC7QYS662,"DB Finance (Delaware), LLC",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
635400PSMCTBZD9XNS47,Intesa Sanpaolo Bank Ireland PLC,IE,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
5493000YZPPFRVZ7PF37,FIDEURAM VITA SPA,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
549300EM43S0YRGIMU78,FGX Canada Corp.,CA,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900HKHMFSRNLP3M76,BACA Leasing Carmen GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300DWD4D3B5EZJC04,"CONOPCO, INC.",US,549300MKFYEKVRWML317,UNILEVER PLC
52990009UNDL8B1ACI35,Royster Fund Management S.à r.l.,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
213800LOVTMVCEXXDE17,UNICREDIT INGATLANLÍZING SZOLGÁLTATÓ ZÁRTKÖRŰEN MŰKÖDŐ RÉSZVÉNYTÁRSASÁG,HU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300KRHG5GM7DXKE41,REYL & Cie SA,CH,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900DM9MKEQU4TQH74,Deutsche Securities Israel Ltd.,IL,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
2138003GMZOMMHTKUW26,HVB LONDON INVESTMENTS (AVON) LIMITED,GB,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900BY5GL0ZQFGXT09,Cardea Real Estate S.r.l.,IT,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
8156005D1B85D22FF777,UNICREDIT BPC MORTGAGE S.R.L.,IT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
52990053M7DZ6RC6OI62,Deutsche Postbank Funding LLC I,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493002Z1PPD26D0QT04,ESSILOR AUSTRALIA PTY LTD,AU,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
213800ABBDUPIFMITV66,FMZ SAVARIA SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,HU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900U7AT9B9UMLXG16,Deutsche Bank National Trust Company,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
52990070XL8QPES0SM31,Alex. Brown Financial Services Incorporated,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900YQT7RAMTQ59G63,POLLUX Immobilien GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300I1NMOBS4B1LT88,LUXOTTICA GROUP SPA,IT,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
549300X2FSMEMXGKF151,UNILEVER INDIA EXPORTS LIMITED,IN,549300MKFYEKVRWML317,UNILEVER PLC
529900JIWM8JLJ18XD35,WealthCap Objekte Grasbrunn und Ismaning GmbH & Co. KG,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900WMBOJTFWCJ6Z71,norisbank GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
52990026WU4MWFA1P303,DB LONDON (INVESTOR SERVICES) NOMINEES LIMITED,GB,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900QDG42IVLG7C683,LEASFINANZ Alpha Assetvermietung GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300ZU652SN9WBFV30,DWS INVEST - TOP DIVIDEND OPPORTUNITIES,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900EYYGOCP4180B15,PCC Services GmbH der Deutschen Bank,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900RBERZ83V1GT415,Deutsche Postbank Funding LLC III,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299001ICGNKKWDL1557,MortgageIT Securities Corp.,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900M16K5ETQQEXE12,DBR Investments Co. Limited,KY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
635400H9NIJ5SQ65LG47,Intesa Sanpaolo Life Designated Activity Company,IE,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900YHKC6446YVDP09,WealthCap Leasing GmbH,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900F61J2XA3NK9979,Lufthansa Aviation Training GmbH,DE,529900PH63HYJ86ASW55,Deutsche Lufthansa Aktiengesellschaft
529900DNKIMASQ1WQC07,WealthCap Objekt-Vorrat 20 GmbH & Co. KG,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
213800MQ6DXRNJ395137,UL COSTA RICA SCC SOCIEDAD ANONIMA,CR,549300MKFYEKVRWML317,UNILEVER PLC
5299005404YKMA1T4086,Deutsche Securities (India) Private Limited,IN,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900MFAEZD7FAN9N26,ANTARES Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300XJNWG0Q07SE896,UNILEVER DEL URUGUAY S.R.L.,UY,549300MKFYEKVRWML317,UNILEVER PLC
549300DHFF7DPS0Z0U75,DEAM-FONDS GHS,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900UGZL7PHL4KTV29,Argent Incorporated,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493005X008R6A2PKW88,DWS INVEST - ONE BELT ONE ROAD,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
74780000A0SH8DY34831,ZB Protect 2022 UCITS fond,HR,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900U6IYYUDUULIX86,Z Leasing HERCULES Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900BS0K5H5X5S4796,Z Leasing DRACO Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
254900E6900SXE7ZK016,"SOCIETE DE DEVELOPPEMENT ET DE FINANCEMENT HOLDING S.A., SPF",LU,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900YNWHYCU679WE23,"DBFIC, Inc.",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900JBPP7HAVCM8C23,Deutsche Mortgage & Asset Receiving Corporation,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299007XMJKIQYA1QE53,UniCredit Fleet Management EOOD,BG,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900ILV3IRTU21O880,WealthCap Fonds GmbH,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900F895EWIYOGOY61,"DB Services Americas, Inc.",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
52990058YIHY59G9ZR75,DB Capital Markets (Deutschland) GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300Y7J8F0WHPKAO48,CIB RENT OPERATÍV LÍZING ZÁRTKÖRŰEN MŰKÖDŐ RÉSZVÉNYTÁRSASÁG,HU,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
549300NKVNJWXBDMWC62,ARGENTINA INVESTMENTS B.V.,NL,549300MKFYEKVRWML317,UNILEVER PLC
5493005EB366SL4UE309,DWS ZEITWERT PROTECT,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
81560095E5C286EA9562,ISYBANK S.P.A.,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900C6342MV7MEQR46,LINDSELL FINANCE LIMITED,MT,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
52990028YYXNOY4VCL59,FactorBank Aktiengesellschaft,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900U7SG8ULFKPU928,DB Aircraft Leasing Master Trust,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900EPV95P6S515H56,Agena S.A.,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300DB4NZ7CK3X6R57,SYNOPTIK NORGE AS,NO,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
815600D20361C46B7C65,INTESA SANPAOLO RE.O.CO. S.P.A. O BREVEMENTE REOCO S.P.A.,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900JMJSBZQ87VS279,Bank Austria Real Invest Immobilien-Management GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300SDDBLYMENCB570,LUXOTTICA NORTH EUROPE LIMITED,GB,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900VHISCWBZGTC349,Spectrum Grundstücksverwaltungs-Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
213800BYTX3ODD8TVN91,ELEKTRA PURCHASE NO. 34 DESIGNATED ACTIVITY COMPANY,IE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5299007QWTE1LDFAS287,Dusk LLC,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900OB9X1DTXJ7MD63,SAB Real Estate Verwaltungs GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300WZK231NAUFI045,DB PRIVATMANDAT COMFORT - PRO USA,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300J7H1RQ24SIZ225,PT OPTICAL PARTNERS INDONESIA,ID,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900PP5INPXJG8JM22,Deutsche Leasing New York Corp.,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900LJ3ZRKEDU0CF57,DWS Real Estate GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900BPNSDDP4R0HP51,WealthCap USA Immobilien Verwaltungs GmbH,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900CQVDVATODQA941,DWS Service Company,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900582CZR3DANMR96,Herengracht Financial Services B.V.,NL,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900RODWQNN1GDC463,Deutsche Finance No. 2 Limited,KY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900NU19Y3EQLWRP08,DEUTSCHE INTERNATIONAL CORPORATE SERVICES (DELAWARE) LLC,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300LRI77T5F28OH18,UNILEVER FINANCE INTERNATIONAL B.V.,NL,549300MKFYEKVRWML317,UNILEVER PLC
529900LK05HKEZ736735,DB Corporate Advisory (Malaysia) Sdn. Bhd.,MY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300JR63IQRTE0HQ66,"PBZ-NEKRETNINE društvo s ograničenom odgovornošću za promet nekretninama, graditeljstvo, trgovinu i usluge",HR,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900MVM385SYIIJA64,UniCredit Turn-Around Management CEE GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
