child_lei,child_name,child_country,parent_lei,parent_name
52990090ZUP0P6NRBU17,CALG 445 Grundstückverwaltung GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300HN604T6L7YRW35,DEAM-FONDS ME III,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
635400QSJSOFZJC94O05,PAI (New York) Limited,US,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5493008M0U92PEH43O65,DE CEUNYNCK & C°,BE,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
5493004NRK1XLI2A3K89,有限会社アップルジャパンホールディングス (Apple Japan合同会社),JP,HWUPKR0MPOU8FGXBT394,Apple Inc.
254900FT4XJ2MNNHOV07,THE WALT DISNEY COMPANY (SOUTHEAST ASIA) PTE. LIMITED,SG,549300GZKULIZ0WOW665,THE WALT DISNEY COMPANY
549300GUQK2RPMND7R49,Essilor Aktiebolag,SE,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
549300UM31PJ24TTSR94,INTESA SANPAOLO VITA S.P.A.,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900KN5F22P7EWQ753,CALG Gamma Grundstückverwaltung GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900AO1T2EBC9HUC17,UCTAM RO SRL,RO,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300OVVY2IW4A3M076,LUXOTTICA HOLLAND B.V.,NL,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
549300VWGK6VDYE07K51,UNILEVER VENTURES III L.P.,GB,549300MKFYEKVRWML317,UNILEVER PLC
21380012EA5RD6HRXS79,ELEKTRA PURCHASE NO. 63 DESIGNATED ACTIVITY COMPANY,IE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300OGMPCNFJUMJ659,LENSWAY B.V.,NL,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900CYRSQHASADDO34,"PARTS Funding, LLC",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300Q1TKVLSYVS7C09,DB Private Wealth Mortgage Ltd.,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
315700H9WMTTK29MHG75,"UniCredit Fleet Management, s.r.o.",CZ,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900R6B2KGUI1XI539,TELO Beteiligungsgesellschaft mbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300VV2BJHZ64PGL39,DEUTSCHE EUROPEAN REAL ESTATE SECURITIES MASTER FUND,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900NVM7Z04DA3LO24,"RREEF DCH, L.L.C.",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493005GWX2HVMZNEO34,RED LIFE REINSURANCE LIMITED,BM,UWJKFUJFZ02DKWI3RY53,THE COCA-COLA COMPANY
549300XBRBK4EN2W1S73,CD CAPITAL GLOBAL,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299005LY13TY4OH4Z36,Z Leasing HEBE Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300TI1COTFUWYJC68,REIZE OPTIK AG,CH,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
5493003P67INGS2MFT98,KLENO TEAM KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGÜ TÁRSASÁG,HU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900X1YMA4ZKYHTN40,Deutsche Bank Americas Holding Corp.,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
254900CUBFX95CP20C14,W.G.F. Assets Limited,VG,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900YR10F8TOMFTR35,WealthCap Immobilienfonds Deutschland 36 Komplementär GmbH,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900MX5HGF7REC5221,Deutsche Fiduciary Services (Suisse) SA,CH,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493000G3CNQTWPBZA31,BB GR,FR,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900IUZNMH9ABKN916,DEUTSCHE NEW ZEALAND LIMITED,NZ,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900DGSQR7P9L7FM63,"DB Aster, LLC",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299002FS7MWCAJFYW17,Charade Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900I37PA2FQ4BZ244,BACA HYDRA Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5493003X2PANQ4S0EH05,TRANSITIONS OPTICAL HOLDINGS B.V.,NL,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
549300L70BS183Y6ML67,DWS Investment S.A.,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493003M451YU8YSEC41,DEAM CAPITAL PROTECT 2029,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
54930018UN596IHLRW36,DAC VISION,FR,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900J5LZ8NSD1NDD83,Mezzanine Capital USA II (MC-US II) GmbH & Co. KG,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493003T9FC00681FQ76,UNILEVER UKRAINE LLC,UA,549300MKFYEKVRWML317,UNILEVER PLC
5299009T3KWOCYE8BD14,LUFTHANSA MALTA AIRCRAFT-LEASING LTD,MT,529900PH63HYJ86ASW55,Deutsche Lufthansa Aktiengesellschaft
529900OWBLLW6WMCRM37,Z Leasing KAPA Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300X7KXMBP1V42N81,OPTICAL SUPPLIES MIDDLE EAST FZE,AE,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
5493005WOBFWIL4QR777,FIDEURAM BILANCIATO,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
5299001GRQUZADRADN70,DBUK PCAM LIMITED,GB,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299007CCQ08GGNCO102,DEUTSCHE INDIA PRIVATE LIMITED,IN,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900MDEX24DPUXO876,Franz Urbig- und Oscar Schlitter-Stiftung Gesellschaft mit beschränkter Haftung,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
54930059AYBFBM5Y2L55,DERMALOGICA (UK) LIMITED,GB,549300MKFYEKVRWML317,UNILEVER PLC
529900QC5I7V6HP3BP65,BACA CENA Immobilien Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900Z5WR87JYQQKY21,UniCredit Leasing Technikum GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900BSQ2VSODGMGR72,DWS Asset Management (Korea) Company Limited,KR,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299007MD6I12CTKQM41,DB Mortgage Investment Inc.,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299002R6SW0HHWT3W09,Geldilux-TS-2015 S.A.,LU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900KO608UPZKNW059,GALA Grundstückverwaltung Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900HNLCDM7X1RJ063,Deutsche Securities (Proprietary) Limited,ZA,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900X0PJHKD14SK005,Deutsche Custody N.V.,NL,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900K4SIZHA5HDEF79,"DBAH Capital, LLC",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900ONCW2ZRPJIU019,DB Investment Resources Holdings Corp.,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900C4MN0KMLK0ZV67,DEUTSCHE OVERSEAS ISSUANCE NEW ZEALAND LIMITED,NZ,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300DU2TJ72XCUUN84,Eurizon Asset Management Croatia društvo s ograničenom odgovornošću za upravljanje investicijskim fondovima,HR,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900SWNRHN2PPD6X60,DLV Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300MINO4CSLQEZY39,UNILEVER INDUSTRIES PRIVATE LIMITED,IN,549300MKFYEKVRWML317,UNILEVER PLC
81560075E90A817C8F48,FONDO PENSIONE FIDEURAM - FONDO PENSIONE APERTO,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
5493008E6EOF5QH4MW05,UNILEVER FOODS (MALAYSIA) SDN. BHD.,MY,549300MKFYEKVRWML317,UNILEVER PLC
5299003L7YAXHP6Z7T75,UniCredit Garagen Errichtung und Verwertung GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900TNCYLRNC5C3L95,BAL SOBEK Immobilien Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900URNIC26XVVO413,Z Leasing ARKTUR Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
222100RUGZYYYFQM1J57,DWS INVEST - REAL ASSETS INCOME,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5493008X0EWE6B6KZV25,ESSIDEV,FR,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
